Dia;Festividad;Tipo de Festivo
12/10/2018;Fiesta Nacional de España;Festivo nacional
01/11/2018;Todos los Santos;Festivo nacional
09/11/2018;Ntra. Sra. de la Almudena. Patrona de la ciudad;Festivo local de la ciudad de Madrid
06/12/2018;Dia de la Constitucion;Festivo nacional
07/12/2018;No lectivo;ETSI Informática
08/12/2018;Inmaculada Concepcion;Festivo nacional
24/12/2018;No lectivo;ETSI Informática
25/12/2018;Navidad;Festivo nacional
26/12/2018;No lectivo;ETSI Informática
27/12/2018;No lectivo;ETSI Informática
28/12/2018;No lectivo;ETSI Informática
31/12/2018;No lectivo;ETSI Informática
01/01/2019;Año Nuevo;Festivo nacional
02/01/2019;No lectivo;ETSI Informática
03/01/2019;No lectivo;ETSI Informática
04/01/2019;No lectivo;ETSI Informática
06/01/2019;Epifania del Señor;Festivo nacional
07/01/2019;No lectivo;ETSI Informática
21/01/2019;No lectivo;ETSI Informática
22/01/2019;No lectivo;ETSI Informática
23/01/2019;No lectivo;ETSI Informática
24/01/2019;No lectivo;ETSI Informática
25/01/2019;No lectivo;ETSI Informática
28/01/2019;Santo Tomás de Aquino;Festivo local de la ciudad de Madrid
04/03/2019;Semana Santa;ETSI Informática
15/04/2019;Semana Santa;ETSI Informática
16/04/2019;Semana Santa;ETSI Informática
17/04/2019;Semana Santa;ETSI Informática
18/04/2019;Jueves Santo;Festivo nacional
19/04/2019;Viernes Santo;Festivo nacional
22/04/2019;Semana Santa;ETSI Informática
01/05/2019;Fiesta del Trabajo;Festivo nacional
02/05/2019;Dos de Mayo;Festivo nacional
03/05/2019;No lectivo;ETSI Informática
15/05/2019;San Isidro Labrador;Festivo local de la ciudad de Madrid
10/06/2019;No lectivo;ETSI Informática
11/06/2019;No lectivo;ETSI Informática
12/06/2019;No lectivo;ETSI Informática
13/06/2019;No lectivo;ETSI Informática
14/06/2019;No lectivo;ETSI Informática
17/06/2019;No lectivo;ETSI Informática
18/06/2019;No lectivo;ETSI Informática
19/06/2019;No lectivo;ETSI Informática
20/06/2019;No lectivo;ETSI Informática
21/06/2019;No lectivo;ETSI Informática
15/08/2019;Asuncion de la Virgen;Festivo nacional
